Band,Count,Concerts
Sublime C.D.,1,"         Date                                              Bands                       City                Venue
0  05/08/2022  Dead Kiwis;Ultra Moule;Sublime C.D.;Born From ...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Suffocation,1,"         Date                                              Bands                       City                Venue
0  07/08/2022  Dukkha;Heart Attack;Moscow Death Brigade;Hangm...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Sum 41,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Svalbard,1,"         Date                                              Bands     City          Venue
0  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...  Clisson  Hellfest 2023"
Talvienkeli,1,"         Date                       Bands  City       Venue
0  19/07/2024  Sat One;Mobius;Talvienkeli  Lyon  Rock N Eat"
Madball,1,"         Date                                              Bands                       City                Venue
0  03/08/2019  Yoda Rising;Hate;Monkey3;Eyehategod;Soilwork;D...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
La Corriveau,1,"         Date                                              Bands   City                  Venue
0  08/09/2024  The Anchoret;Voidchaser;La Corriveau;The Unive...  Lévis  Vieux Bureau De Poste"
MONO,1,"         Date                     Bands      City              Venue
0  22/03/2025  Alcest;MONO;Kaelan Mikla  Montréal  Théâtre Beanfield"
Death Before Dishonor,1,"         Date                                              Bands                       City                Venue
0  04/08/2023  Primal Rage;Electric Jaguar Baby;Prismeria;Ale...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Carcass,1,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Carpenter Brut,1,"         Date                                              Bands     City          Venue
0  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...  Clisson  Hellfest 2023"
Church Of Misery,1,"         Date                                              Bands                       City                Venue
0  06/08/2023  Drive North;Eight Sins;Leng T'che;Church Of Mi...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Cognitive,1,"         Date                Bands    City   Venue
0  30/09/2024  Benighted;Cognitive  Québec  L'Anti"
Coheed And Cambria,1,"         Date                                              Bands     City          Venue
0  15/06/2023  Hypno5e;Coheed And Cambria;I Prevail;In Flames...  Clisson  Hellfest 2023"
Cult Of Luna,1,"         Date                             Bands           City   Venue
0  22/10/2023  Cult Of Luna;GGGOLDDD;Slow Crush  Saint-Etienne  Le Fil"
Danko Jones,1,"         Date                                              Bands                       City                Venue
0  03/08/2019  Yoda Rising;Hate;Monkey3;Eyehategod;Soilwork;D...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Dead Kiwis,1,"         Date                                              Bands                       City                Venue
0  05/08/2022  Dead Kiwis;Ultra Moule;Sublime C.D.;Born From ...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Deicide,1,"         Date                                              Bands                       City                Venue
0  06/08/2023  Drive North;Eight Sins;Leng T'che;Church Of Mi...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Bombers,1,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Demented Are Go,1,"         Date                                              Bands                       City                Venue
0  06/08/2023  Drive North;Eight Sins;Leng T'che;Church Of Mi...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Eight Sins,1,"         Date                                              Bands                       City                Venue
0  06/08/2023  Drive North;Eight Sins;Leng T'che;Church Of Mi...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Electric Callboy,1,"         Date                                              Bands     City          Venue
0  18/06/2023  Slipknot;Pantera;Tenacious D;Amon Amarth;Incub...  Clisson  Hellfest 2023"
Electric Jaguar Baby,1,"         Date                                              Bands                       City                Venue
0  04/08/2023  Primal Rage;Electric Jaguar Baby;Prismeria;Ale...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Employed To Serve,1,"         Date                                    Bands  City               Venue
0  28/02/2023  Gojira;Alien Weaponry;Employed To Serve  Lyon  Halle Tony Garnier"
Escape The Fate,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Exodus,1,"         Date                                              Bands                       City                Venue
0  07/08/2022  Dukkha;Heart Attack;Moscow Death Brigade;Hangm...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Fallujah,1,"         Date                                              Bands   City                  Venue
0  02/12/2022  Rivers Of Nihil;Allegaeon;Fallujah;Harbinger;I...  Paris  Backstage By The Mill"
Born From Pain,1,"         Date                                              Bands                       City                Venue
0  05/08/2022  Dead Kiwis;Ultra Moule;Sublime C.D.;Born From ...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Bloodbath,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Los Disidentes Del Sucio Motel,1,"         Date                                              Bands  City       Venue
0  12/07/2024  Los Disidentes Del Sucio Motel;Left Shore;Nick...  Lyon  Rock N Eat"
Apocalyptica,1,"         Date                                              Bands                       City                Venue
0  03/08/2019  Yoda Rising;Hate;Monkey3;Eyehategod;Soilwork;D...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Alea Jacta Est,1,"         Date                                              Bands                       City                Venue
0  04/08/2023  Primal Rage;Electric Jaguar Baby;Prismeria;Ale...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Alestorm,1,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Alien Weaponry,1,"         Date                                    Bands  City               Venue
0  28/02/2023  Gojira;Alien Weaponry;Employed To Serve  Lyon  Halle Tony Garnier"
Allegaeon,1,"         Date                                              Bands   City                  Venue
0  02/12/2022  Rivers Of Nihil;Allegaeon;Fallujah;Harbinger;I...  Paris  Backstage By The Mill"
Alter Bridge,1,"         Date                                              Bands     City          Venue
0  16/06/2023  Vended;P-Troll;Escape The Fate;Helms Alee;Unea...  Clisson  Hellfest 2023"
Amaranthe,1,"         Date                Bands   City               Venue
0  02/11/2017  Eluveitie;Amaranthe  Paris  Le Cabaret Sauvage"
Amon Amarth,1,"         Date                                              Bands     City          Venue
0  18/06/2023  Slipknot;Pantera;Tenacious D;Amon Amarth;Incub...  Clisson  Hellfest 2023"
Animalize,1,"         Date                                              Bands                City              Venue
0  06/07/2024  Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;...  Colombier-Saugnieu  Plane'R Fest 2024"
